"V1" "V2" "V4" "V5" "V7" "V8" "V10" "V11" "V13" "V14" "V15" "V17" "V18" "V20" "V21" "V23"
"1" -0.00038533207967545 -0.000642504301999278 -0.000323805810937998 -0.000593368827738505 -0.000367980146939597 -0.000539244689473491 -0.000696528629984853 -0.000468394566603247 -0.000737101550355325 -0.00067065070270903 -0.000434159999588251 -0.000564807380054653 -0.000550181767148227 -0.000537898042610783 -0.000832821234343491 -0.00063397839961439
"2" -0.000416652220615964 -0.000679920948555031 -0.000341785050709617 -0.00059645784703374 -0.000372302819842234 -0.000546248304260196 -0.000715105858852801 -0.000480122362127175 -0.000747728510839946 -0.000673274161557458 -0.000441326366283865 -0.000568542294804579 -0.000540683392678127 -0.000548523999230081 -0.000831051381747576 -0.000642225317390809
"3" -0.000447925362631196 -0.000716410948794087 -0.000359501866875667 -0.000598689402818695 -0.000376301795815844 -0.000552840428841725 -0.000733439340641922 -0.000491609176555915 -0.000757003705546032 -0.000674950629172526 -0.000447968248771993 -0.00057167095370167 -0.000529954068501501 -0.000558399580109869 -0.000827960916315399 -0.000649861500136311
"4" -0.000478921633940597 -0.000751685482456925 -0.000376812879934835 -0.000600015777903579 -0.00037992389151152 -0.000558958839429543 -0.00075135202411389 -0.000502789199218304 -0.000764792198550798 -0.000675605908934747 -0.000454010419236618 -0.000574117915431806 -0.000517963647672096 -0.000567406997544901 -0.000823491303770047 -0.000656747196114612
"5" -0.000509406656443006 -0.000785468146397811 -0.000393571228684838 -0.000600385491922284 -0.000383106571004488 -0.000564541455679234 -0.000768663558421827 -0.000513590277520474 -0.000770963651256986 -0.000675171781363818 -0.000459382075211917 -0.000575818622652034 -0.000504696795362803 -0.000575444580783159 -0.000817589139084486 -0.000662750579515867
"6" -0.000539144059363813 -0.000817482758230856 -0.000409638057699925 -0.000599751991012567 -0.000385792205960983 -0.000569522711855419 -0.000785192673990112 -0.000523949282688843 -0.000775400686934454 -0.000673579432322678 -0.000464018397756251 -0.000576700192644052 -0.000490142237522835 -0.000582399898548774 -0.000810213331634267 -0.000667735807217363
"7" -0.000567893384461115 -0.000847478623347382 -0.000424864164459572 -0.000598081874090541 -0.000387926347913381 -0.000573845912585334 -0.000800762656147388 -0.000533800957118757 -0.000777990144596624 -0.000670772487141845 -0.00046785192126024 -0.000576700327155266 -0.000474297836715378 -0.000588173047921808 -0.000801323090958194 -0.000671571907389083
"8" -0.000595423072053379 -0.000875206890385383 -0.000439117140531722 -0.000595342326683011 -0.000389452922442998 -0.000577450354591784 -0.000815193562799171 -0.000543090883255451 -0.000778635349770643 -0.000666701048038975 -0.000470825621724851 -0.000575752199002524 -0.000457171942337385 -0.000592672842854524 -0.00079089538392204 -0.000674131887286083
"9" -0.000621495880620169 -0.000900435853994026 -0.000452255478977805 -0.000591501335000423 -0.000390320268033681 -0.000580278315752154 -0.000828315957571952 -0.000551756590091964 -0.000777252619486544 -0.000661322939353282 -0.000472888321462414 -0.000573798102307527 -0.000438782737657963 -0.000595812863861172 -0.000778914811746713 -0.000675300282334004
"10" -0.00064589013209301 -0.000922955077888431 -0.000464151448339264 -0.000586545886598308 -0.000390480773031375 -0.000582278149757336 -0.00083995848844479 -0.000559753186365246 -0.00077377159685089 -0.000654603070980699 -0.000473991270477125 -0.000570785449637976 -0.000419159310579448 -0.00059751414101076 -0.000765377226053092 -0.000674961789161179
"11" -0.00066838409054589 -0.000942572160849543 -0.000474679186085707 -0.000580461340275833 -0.000389887097839877 -0.000583401305334522 -0.0008499674858433 -0.000567032443204771 -0.000768131154859713 -0.000646515480790135 -0.000474092827298167 -0.000566665732933121 -0.000398338435205647 -0.000597705938944004 -0.000750286401826955 -0.000673017972975104
"12" -0.000688772333001638 -0.000959116883127381 -0.000483726136528003 -0.000573240769139577 -0.00038849822549339 -0.000583600459643113 -0.000858193794862376 -0.000573552011528077 -0.000760294277084916 -0.00063705087640713 -0.00047316013583739 -0.000561397200549972 -0.00037637373708803 -0.000596333557771582 -0.000733661438787487 -0.000669372172004201
"13" -0.000706854400442441 -0.000972436376484855 -0.000491184230493707 -0.00056489146202014 -0.000386280630941669 -0.000582838857795229 -0.000864494313051778 -0.000579280040630354 -0.000750232155356852 -0.000626201662242715 -0.000471168223769627 -0.000554949028946819 -0.000353323105850071 -0.000593347791165959 -0.000715534495161609 -0.0006639492027772
"14" -0.000722447589617729 -0.000982404592580811 -0.000496958076710379 -0.000555423997504007 -0.000383204920577861 -0.000581078434716702 -0.000868742278948024 -0.000584185965981232 -0.000737938779174968 -0.000613976146057726 -0.00046809716514308 -0.000547295789983834 -0.000329261645776166 -0.000588711104580703 -0.000695947673790345 -0.000656683886392347
