"V1" "V2" "V4" "V5" "V7" "V8" "V10" "V11" "V13" "V14" "V15" "V17" "V18" "V20" "V21" "V23"
"1" -0.000500948031856572 -0.000424882128960525 -0.000399472586223541 -0.000556789507472657 -0.000596044922082159 -0.00062239138383406 -0.000817059121752193 -0.000543383340092847 -0.000501491866958771 -0.000406766245627496 -0.000581426671762959 1.55749717115557e-05 0.000457120135999756 -0.00048915847987411 -0.000641510491663169 8.36395933968652e-06
"2" -0.000490655953610978 -0.000414326227417899 -0.000387597398915915 -0.000548916840016664 -0.000591412072825352 -0.000621313526550994 -0.000815243794469477 -0.000535567142571911 -0.000478309888518381 -0.000387799970093182 -0.000564917490257639 1.82582950579986e-05 0.000446094846024221 -0.000456634206193723 -0.00061973793011815 5.74029566596923e-06
"3" -0.00047858878488436 -0.000402505678748203 -0.00037427461289569 -0.000539655334449234 -0.000585577723079542 -0.000619085227472337 -0.000811469607199835 -0.000526498173454877 -0.000454453089336125 -0.000368093065779337 -0.000547737919250053 2.04155101486568e-05 0.000432572416251848 -0.000423220145926312 -0.000597869239030705 2.31460616838828e-06
"4" -0.000464833160473423 -0.000389496863803687 -0.000359585051114736 -0.000529070124400461 -0.00057853578148391 -0.000615714026638129 -0.000805745064609115 -0.00051623129254818 -0.000430057099089765 -0.000347757819246185 -0.000529955179521984 2.2005691132031e-05 0.000416527213105983 -0.000389074670658224 -0.000575983758696332 -1.90812984522527e-06
"5" -0.00044949421082801 -0.000375374193397757 -0.000343622312946691 -0.000517237305343091 -0.000570303452984291 -0.000611215299439692 -0.000798096033841527 -0.000504826665526591 -0.000405263168435392 -0.000326908957824034 -0.000511636322806828 2.29866226570982e-05 0.000397945471282093 -0.000354360662540097 -0.000554164746527026 -6.93395837982821e-06
"6" -0.000432691928330456 -0.000360226605474606 -0.000326491407787414 -0.000504244016613869 -0.000560906994527629 -0.000605615258095563 -0.000788557281948857 -0.000492349082005644 -0.000380221469041202 -0.000305665327089279 -0.000492863480894624 2.33115722927539e-05 0.000376819468837836 -0.000319244068903882 -0.000532489750661473 -1.27554248054495e-05
"7" -0.000414556421986351 -0.00034415006325267 -0.000308302855524016 -0.000490193373548989 -0.00055039168104155 -0.000598951192427844 -0.000777195277217679 -0.000478870145943857 -0.000355092966137068 -0.000284160603025295 -0.000473719903609618 2.29349947713512e-05 0.000353150679597116 -0.000283908991773396 -0.000511046191219324 -1.93746878830604e-05
"8" -0.000395226860446829 -0.000327244521375536 -0.000289187367188088 -0.000475192076136793 -0.00053880332506977 -0.000591268056474281 -0.00076408113851322 -0.000464464993163294 -0.000330048625375322 -0.000262526159828701 -0.000454297206641848 2.18066236485798e-05 0.000326949478127019 -0.000248538929016757 -0.000489920194372306 -2.67875886823536e-05
"9" -0.000374853386349347 -0.000309612816576823 -0.00026926949404515 -0.000459356929614936 -0.000526214415168541 -0.000582621884272854 -0.000749301587231089 -0.000449211625092075 -0.000305256308938402 -0.000240897445154995 -0.000434693832481465 1.98860699468698e-05 0.000298240094374341 -0.000213323032005709 -0.000469195652936317 -3.49933738169363e-05
"10" -0.000353595146350693 -0.000291369167870301 -0.00024868614968197 -0.00044281261382908 -0.000512702460915473 -0.000573078114514192 -0.000732967161476878 -0.000433191926173388 -0.000280902886676648 -0.000219419070045229 -0.000415014186802992 1.71188490230161e-05 0.000267043883074299 -0.000178456933016278 -0.00044896730932117 -4.39938915553295e-05
"11" -0.000331609528565076 -0.000272624729189062 -0.000227581438085333 -0.00042568785198176 -0.000498363360139852 -0.000562708701410342 -0.000715190708720914 -0.000416491652321482 -0.000257169153542916 -0.000198232838416731 -0.00039536860757033 1.34619665231284e-05 0.000233404260341295 -0.000144140592596741 -0.000429323136207649 -5.37916340938355e-05
"12" -0.000309066826156844 -0.000253496896525576 -0.000206105073579958 -0.000408118431540154 -0.000483299105430812 -0.000551597309876235 -0.000696109909858577 -0.000399201053570884 -0.000234247355514379 -0.000177480182415662 -0.000375873203264347 8.86665046220985e-06 0.000197359891398328 -0.000110573420119733 -0.000410354520539599 -6.43908589903711e-05
"13" -0.000286126178110976 -0.000234103224344732 -0.000184401357070127 -0.000390237913413453 -0.000467621833726008 -0.000539829433355957 -0.000675856161950896 -0.000381402387134148 -0.00021231908993139 -0.000157301292693286 -0.000356642735038296 3.29810050234344e-06 0.000158977579378749 -7.79506099386587e-05 -0.000392151967356152 -7.57955405477831e-05
"14" -0.000262958845315427 -0.000214562288011485 -0.000162620940123092 -0.000372184275708529 -0.000451457765505605 -0.000527498537354441 -0.000654589071187308 -0.000363190043541969 -0.000191572654192897 -0.000137836464402016 -0.000337799097368213 -3.28514466986819e-06 0.000118320475365416 -4.64745552425428e-05 -0.000374804018490126 -8.80145712474099e-05
"15" -0.000239722849771306 -0.000194989883585351 -0.000140908351005208 -0.000354094339069722 -0.000434940262953967 -0.000514699827269407 -0.000632462664512067 -0.00034465148067786 -0.000172191063253569 -0.000119218592861481 -0.000319462639835433 -1.09151031711096e-05 7.54756753015256e-05 -1.63332501911287e-05 -0.000358402012553549 -0.000101050050156646
"16" -0.0002165789038411 -0.000175502026899259 -0.000119411481258582 -0.000336102852573828 -0.000418210062085048 -0.000501538812520521 -0.000609643093813412 -0.000325878339550286 -0.000154348609560545 -0.00010157239933588 -0.000301749783783591 -1.96117304940659e-05 3.05399359240082e-05 1.22875437683266e-05 -0.000343023180834459 -0.000114908156659617
"17" -0.000193681759854823 -0.000156214480251978 -9.82745156715908e-05 -0.000318339169525323 -0.000401403897818762 -0.000488115550036714 -0.000586302944483236 -0.000306954939254753 -0.000138206255337253 -8.50199506746834e-05 -0.000284780322258902 -2.93917292238698e-05 -1.63710915086058e-05 3.9211039035424e-05 -0.000328750253956475 -0.000129588110827933
"18" -0.000171180951784219 -0.00013723553111423 -7.7632251257189e-05 -0.000300930066319729 -0.000384675523751589 -0.000474536499925773 -0.000562614073030657 -0.000287973011707385 -0.000123917193750361 -6.96624784260423e-05 -0.000268658258289144 -4.0260632273974e-05 -6.51312891428663e-05 6.42751915355743e-05 -0.000315645868852197 -0.000145087835132175
"19" -0.000149215572310389 -0.00011867758536982 -5.76191788979163e-05 -0.000283997111164571 -0.000368169483777802 -0.000460908738585178 -0.000538756326792741 -0.000269015842481702 -0.000111621142665332 -5.55989144979084e-05 -0.000253493151045089 -5.22153324049262e-05 -0.00011559150691261 8.73265324071941e-05 -0.000303775287621197 -0.000161403313354582
"20" -0.000127919740643152 -0.000100639765787481 -3.83563052621908e-05 -0.000267653881109206 -0.000352036854769544 -0.000447337973485264 -0.000514906546628098 -0.000250168918192753 -0.000101437321875714 -4.29116651830609e-05 -0.000239378205868941 -6.52407669810259e-05 -0.00016759399223566 0.000108228000182929 -0.000293187819126936 -0.000178519661867314
"21" -0.000107419459653906 -8.32251844646475e-05 -1.99630557971737e-05 -0.000252006057353485 -0.00033642066876363 -0.000433926991940892 -0.000491244871966746 -0.000231513037760236 -9.34619937165457e-05 -3.16654529946702e-05 -0.000226397000219324 -7.93083659662044e-05 -0.000220953066490939 0.000126860379657202 -0.000283924199596445 -0.000196418989938345
"22" -8.78274868760094e-05 -6.65313796394487e-05 -2.55021837344126e-06 -0.000237154965552376 -0.000321469137052491 -0.000420779080231639 -0.00046794726469436 -0.000213126312545697 -8.77806955271782e-05 -2.19124960422801e-05 -0.000214622657861022 -9.43816309682581e-05 -0.000275477691924892 0.000143125378623219 -0.000276010380108568 -0.000215081223211433
"23" -6.92524896008185e-05 -5.06438839852588e-05 1.37860053148587e-05 -0.000223189258263132 -0.000307320913700917 -0.000407995256907198 -0.000445194071127326 -0.000195087264081091 -8.44421011823838e-05 -1.36880714516203e-05 -0.000204113049705382 -0.000110407996244248 -0.000330958018379009 0.000156940682012841 -0.000269462214701113 -0.000234470467425294
"24" -5.17939162330441e-05 -3.56522236262899e-05 2.89492111244677e-05 -0.000210192514512171 -0.000294108881300988 -0.000395674526591124 -0.000423157811423195 -0.000177468592624527 -8.34844173538715e-05 -7.01228717856668e-06 -0.00019491896521354 -0.000127332216505727 -0.000387179924780393 0.000168247119362484 -0.000264276952993741 -0.000254555504795036
"25" -3.55407111850659e-05 -2.16422886632469e-05 4.28608397079406e-05 -0.000198237838576536 -0.00028196672220607 -0.00038391030162261 -0.000402011599645055 -0.000160340818318718 -8.49127047848212e-05 -1.88309548059716e-06 -0.000187061929423654 -0.000145081304085178 -0.00044390983773946 0.00017700907266434 -0.00026043796174894 -0.000275290423463629
"26" -2.05757515338755e-05 -8.68666944232198e-06 5.5441098654197e-05 -0.000187392760868238 -0.000271013473793566 -0.000372796068818886 -0.000381922014232487 -0.000143774838151195 -8.87111062396777e-05 1.71134625163142e-06 -0.000180562981425242 -0.000163575011925277 -0.000500913029158589 0.000183207862086148 -0.000257922816810929 -0.00029662979595905
"27" -6.96791183235532e-06 3.13817676601227e-06 6.66324429115615e-05 -0.000177708923290196 -0.000261362216350113 -0.000362415186418502 -0.000363053222257696 -0.000127833914765636 -9.48358792006947e-05 3.80855497358646e-06 -0.000175417629573183 -0.000182729102176926 -0.000557951859048945 0.000186852110570421 -0.000256680064022352 -0.000318518476852219
"28" 5.21927594295066e-06 1.37678132239512e-05 7.63755913567462e-05 -0.00016923942108596 -0.000253118184988773 -0.000352853408365979 -0.000345562456660884 -0.000112578073158937 -0.000103221476973087 4.45395786251278e-06 -0.000171606733362675 -0.000202447288579669 -0.000614781674284158 0.000187973456114435 -0.000256658343596488 -0.000340900783603101
"29" 1.59235208035145e-05 2.31323739321988e-05 8.46236646830608e-05 -0.000162024278675396 -0.000246379964870701 -0.000344190729178281 -0.00032960306626471 -9.80719257580991e-05 -0.000113777663972299 3.71303811159087e-06 -0.000169095194945201 -0.000222633561248757 -0.000671176605672407 0.000186622562114192 -0.000257782978855848 -0.000363719879779028
"30" 2.51023443355572e-05 3.11780357519049e-05 9.1337662763846e-05 -0.000156094798647169 -0.000241231387204071 -0.0003364977143297 -0.000315319838801866 -8.43666173601982e-05 -0.000126391375203398 1.6640502447767e-06 -0.000167835710327443 -0.000243187791729233 -0.000726898962934768 0.000182871683637662 -0.000259973039569323 -0.000386913684604695
"31" 3.27098721415182e-05 3.78479401751569e-05 9.64860992564939e-05 -0.000151476176959324 -0.000237753068196959 -0.000329845704957975 -0.000302851364348735 -7.15173452919647e-05 -0.000140930705175567 -1.60166705544996e-06 -0.000167758995301879 -0.00026400319327562 -0.000781736884510448 0.000176815686926319 -0.000263130917688637 -0.000410424410165458
"32" 3.87161000053888e-05 4.30948118492854e-05 0.000100052647090686 -0.000148187241413917 -0.000236002563743409 -0.000324298126237547 -0.000292325531681813 -5.95694794947045e-05 -0.000157241352725763 -5.98461687880746e-06 -0.000168790156280951 -0.00028497856019433 -0.000835482361712296 0.000168565973721439 -0.000267154299497026 -0.000434192257042204
"33" 4.30899575480538e-05 4.68699336571987e-05 0.000102016748286423 -0.000146239830133903 -0.000236040151610083 -0.000319912077817473 -0.000283867197276853 -4.8571655810045e-05 -0.000175155933922108 -1.13669987830418e-05 -0.000170835500923164 -0.000306017150357041 -0.000887951511097694 0.000158255339668324 -0.000271931086531495 -0.000458159794048017
"34" 4.58118589643743e-05 4.91371728046793e-05 0.000102374277274534 -0.000145637794326257 -0.000237909008663841 -0.000316744014573702 -0.000277584480368463 -3.8566269728136e-05 -0.000194485848196331 -1.76294237660665e-05 -0.000173790149560421 -0.000327015698374979 -0.000938977136609649 0.00014602874705015 -0.000277336915596853 -0.000482275577522631
"35" 4.68661923126997e-05 4.98662558854171e-05 0.000101125006521234 -0.000146382861520009 -0.000241638228125179 -0.000314834596784399 -0.000273573981796971 -2.95877089643988e-05 -0.000215033238589618 -2.46405180403331e-05 -0.000177539018674419 -0.000347886008344796 -0.000988407783883621 0.000132047778513302 -0.000283244197228697 -0.000506487701533479
"36" 4.62496639010073e-05 4.90262748584301e-05 9.82795222008322e-05 -0.000148460481817304 -0.000247244624749345 -0.000314223861297528 -0.00027192433339926 -2.16709712688808e-05 -0.000236588151768684 -3.22657942004891e-05 -0.000181957925548482 -0.000368537136907762 -0.0010361193256304 0.000116492102943578 -0.00028952135987247 -0.000530750120240492
"37" 4.3959579336188e-05 4.66015814736945e-05 9.38562478638866e-05 -0.00015185820364818 -0.000254736383572401 -0.000314944079664679 -0.000272709638374785 -1.48384565771249e-05 -0.000258929902955938 -4.03672504157974e-05 -0.00018691370841814 -0.000388886377128538 -0.00108200985156319 9.95450113022514e-05 -0.000296036145719533 -0.000555022213271772
