"V1" "V2" "V4" "V5" "V7" "V8" "V10" "V11" "V13" "V14" "V15" "V17" "V18" "V20" "V21" "V23"
"1" 8.66179793135018e-06 4.55309587194625e-06 4.31359131218624e-06 1.72497053001561e-06 4.85623894293751e-07 -3.52032815363585e-07 -3.15193446274724e-06 4.73814607910639e-06 1.18308070864478e-05 9.96549553472417e-06 9.40193612618408e-06 1.72842108673658e-05 1.97104257874021e-05 1.83168426519647e-05 1.23485898631054e-05 8.70275733177549e-06
"2" 1.79134106100423e-06 5.06547973786857e-06 -3.05295342599783e-06 -5.38480361039453e-06 -4.16412612255051e-07 -1.14798207339781e-06 -1.51693022405122e-06 1.19127804759724e-06 4.92930100410541e-06 -2.35486933456591e-06 5.76637605462684e-06 -1.89985350375998e-06 1.30058231934438e-05 5.33056496008535e-06 6.57226567470657e-06 2.04947736020497e-06
"3" -4.99608414432746e-06 5.57017870151136e-06 -1.03873992522286e-05 -1.24443810437361e-05 -1.33850960914847e-06 -1.95802802755346e-06 1.03776624899917e-07 -2.3397535415291e-06 -1.96016719451353e-06 -1.46370151453981e-05 2.15544065673627e-06 -2.1014792852326e-05 6.26838409435139e-06 -7.65765645239872e-06 8.05970320110458e-07 -4.58368273849428e-06
"4" -1.1616718815008e-05 6.06617455015409e-06 -1.76629753549157e-05 -1.94097674706944e-05 -2.29981972082567e-06 -2.79434084239556e-06 1.69143933843033e-06 -5.84246572648694e-06 -8.81412430654608e-06 -2.68447128392691e-05 -1.40206014035788e-06 -4.00009302460067e-05 -5.34944756267728e-07 -2.06363702158307e-05 -4.94057270129776e-06 -1.11670022066515e-05
"5" -1.79902006918449e-05 6.54223436174396e-06 -2.48425779763666e-05 -2.62236161621412e-05 -3.31661114629353e-06 -3.67181140361141e-06 3.22465869408992e-06 -9.32050081430652e-06 -1.56130793016236e-05 -3.89319343613414e-05 -4.87815899973741e-06 -5.87952495605925e-05 -7.43455119976282e-06 -3.35914587389565e-05 -1.06471691090352e-05 -1.76772393417414e-05
"6" -2.40401797489018e-05 6.99344043063887e-06 -3.19007878466099e-05 -3.28497323847371e-05 -4.40816345970134e-06 -4.60292185493645e-06 4.68337120206813e-06 -1.27598103168103e-05 -2.2339988000641e-05 -5.08673571587219e-05 -8.24495377174729e-06 -7.73386886872716e-05 -1.44497807254292e-05 -4.65163376923305e-05 -1.63063818500447e-05 -2.40914331857299e-05
"7" -2.96894665989091e-05 7.41261123431149e-06 -3.88034697301177e-05 -3.92373028608261e-05 -5.58825926729336e-06 -5.59737291806389e-06 6.04745675528421e-06 -1.61628876703521e-05 -2.89716596821883e-05 -6.26053568260479e-05 -1.14793423346127e-05 -9.55762346516375e-05 -2.16133311820943e-05 -5.93985811026594e-05 -2.19021689131851e-05 -3.03830612812731e-05
"8" -3.48681676337395e-05 7.79382515769059e-06 -4.55249399809413e-05 -4.53499903848337e-05 -6.87593041361128e-06 -6.67063068455402e-06 7.29935068186196e-06 -1.95231809327004e-05 -3.54884031270701e-05 -7.41135276659303e-05 -1.45534254832921e-05 -0.000113454750932402 -2.89460310266577e-05 -7.22254658909628e-05 -2.74205816557875e-05 -3.65314478496272e-05
"9" -3.95129261373294e-05 8.12385969277496e-06 -5.20342859901479e-05 -5.11502680612774e-05 -8.28566980856835e-06 -7.83463900367545e-06 8.41534654596488e-06 -2.28456701195209e-05 -4.18740632887004e-05 -8.53527063804448e-05 -1.74482010235326e-05 -0.000130927343704712 -3.64768786924215e-05 -8.49845643115508e-05 -3.28561957967187e-05 -4.2520015965656e-05
"10" -4.35642680666657e-05 8.39601869200936e-06 -5.83149736737877e-05 -5.66032387487334e-05 -9.8337054416291e-06 -9.09686356330991e-06 9.37348579089679e-06 -2.61171142092128e-05 -4.81068623515973e-05 -9.62930689574847e-05 -2.01400008836978e-05 -0.000147938664648045 -4.42141670963893e-05 -9.76578485619129e-05 -3.81908237157815e-05 -4.83287840135091e-05
