V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,0,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,4.426544006050445e-14,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,1,5.4264364040298073e-17,5.4264364040298073e-17,0,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,5.4264364040298073e-17,4.4298437249559835e-14
0,0,0,0,0,0,0,0,0,0,7.507510768021687e-17,1.8621826339759287e-16,0,1,0,0,0,0,0,0,0,0,0,3.158547007843663e-16,0,0,0,0.9999999999999998,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.364944077838163e-17,1,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,1,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17,4.364944077838163e-17
3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,0.40631660362672894,3.870083677871332e-17,0.4590190893126274,3.870083677871332e-17,3.870083677871332e-17,0.4232245067951538,0.4941722615517816,0.44819982822915266,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,3.870083677871332e-17,1,3.870083677871332e-17,3.870083677871332e-17
2.927216468386805e-17,2.927216468386805e-17,0.9999999999999998,8.022742494726095e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,1,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.8041138537828187e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17,2.927216468386805e-17
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,1,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,0.6708714055226109,6.638387613985544e-17,6.638387613985544e-17,0.7415737031827089,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17,6.638387613985544e-17
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7.459963301237876e-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.366341412641402e-16,0,0,0,0,0.9999999999999998,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
